,genes
403,GPRIN1
404,LONRF3
405,MANEA
406,ARHGAP26
407,USP6NL
408,ZNF208
409,C1RL
410,ANKRD46
411,VAMP1
412,BTC
413,REP15
414,NFX1
415,IDUA
416,RGS14
417,ARNT
418,TOMM7
419,CAMKV
420,TMEM132E
421,NIM1K
422,CD247
423,TBCD
424,CHD3
425,FADS6
426,RB1CC1
427,ZNRF1
428,KDM1A
429,HPCAL1
430,IGSF21
431,ARNTL
432,EFR3B
433,SCN9A
434,TTN
435,HAPLN4
436,TRIM21
437,CDK5
438,KLHL11
439,PRIM1
440,PANK4
441,ZNF319
442,NEDD1
443,LPAR3
444,CHST11
445,CBX3
446,MLF2
447,CCDC51
448,PPP2R5D
449,FKBP9
450,ARHGEF39
451,NTHL1
452,PDE8B
453,EIF2D
454,NDUFB3
455,METRNL
456,DPP4
457,SPATA7
458,TSEN15
459,ATOX1
460,SQLE
461,CDYL2
462,UNC5A
463,AGAP2
464,RDH13
465,TTC9B
466,OLFM3
467,DHCR7
468,ARF6
469,KCNA1
470,MAPK8IP3
471,AAK1
472,PAG1
473,CLTB
474,SLC19A1
475,HEATR3
476,R3HDM4
477,UCHL5
478,FAM78A
479,DDX10
480,CDC123
481,PTPRN2
482,BCL7A
483,SP1
484,CASP3
485,TLN2
486,SNCAIP
487,AFAP1L1
488,HDAC5
489,AIM2
490,MRAP2
491,AP2A1
492,CPEB3
493,ABCC5
494,EXTL2
495,FAM193A
496,EGFL6
497,OSCP1
498,RAD51C
499,ZBTB20
500,DROSHA
501,RXRG
502,SLC38A2
503,DTNBP1
504,ACOT7
505,PTPN7
506,RREB1
507,CARM1
508,HCFC2
509,PTGER4
510,DPY19L3
511,GFER
512,CBR4
513,RAPGEF1
514,CELSR2
515,CCNG2
516,RECQL4
517,SKA3
518,ARHGEF9
519,SHROOM1
520,CAMSAP1
521,LHFPL4
522,CADM3
523,RRS1
524,ANKRD28
525,NR2F1
526,XYLB
527,RGS4
528,SSBP3
529,MCOLN1
530,LIMD2
531,TOX
532,DNMBP
533,ARID1B
534,AKAP6
535,ZNF12
536,SHC2
537,CTBP2
538,PLXNA2
539,GOSR1
540,TMEM38A
541,ACKR2
542,ISG20L2
543,SPIDR
544,KBTBD2
545,TUFT1
546,PSD
547,TMEM256
548,COL4A4
549,SHMT2
550,ACYP1
551,FARSA
552,BVES
553,PRR14L
554,EPHX1
555,FAM149A
556,CYP2S1
557,PPP1R7
558,ZNF710
559,NRSN1
560,SEZ6L
561,GNL3
562,SCN8A
563,SLC2A12
564,VDAC3
565,RBM45
566,HSP90B1
567,ASTN2
568,THY1
569,AP1G2
570,PRMT8
571,YWHAZ
572,EPHA5
573,RHEB
574,S100A4
575,NEUROD1
576,SNRNP200
577,PUS7
578,DHX32
579,TRAPPC1
580,R3HCC1L
581,MAP2K1
582,PPA1
583,NOB1
584,CHRNA7
585,CAP2
586,GDA
587,TOP2B
588,DAPL1
589,PLXNB2
590,TSSK6
591,ATP6AP2
592,SCN3B
593,GCA
594,RFX3
595,USP5
596,SYCE2
597,DPH2
598,PPP1R3D
599,CCDC89
600,ACRBP
601,MTFR2
602,SH3RF1
603,LNX2
604,SIRT1
605,RASGEF1A
606,SLC16A10
607,ITGB4
608,POSTN
609,SCFD1
610,WDHD1
611,RUSC1
612,ENDOV
613,ULK1
614,DPP7
615,PDE4DIP
616,CACNA1A
617,CCNO
618,NIPAL4
619,RNF216
620,ZFYVE19
621,GNG7
622,SH3GL2
623,DAB2
624,SLC25A16
625,DUSP14
626,PACS1
627,PLEKHH3
628,THOP1
629,ANKRD24
630,UNC80
631,HTRA2
632,DGKI
633,PPP1R13B
634,ATP1A1
635,GATA3
636,PLK5
637,TMEM229B
638,CCDC85A
639,ADD2
640,LRTM2
641,COG6
642,PEX5L
643,SMPDL3A
644,KCNC1
645,DDX5
646,TCP11L1
647,PRPF38B
648,C15orf65
649,EAF1
650,FLRT1
651,GPR183
652,PLEKHO1
653,EPHA8
654,ZNF669
655,SFT2D1
656,EXTL1
657,RNLS
658,LRCH1
659,FAM102B
660,NR1D1
661,MAP3K9
662,UPB1
663,OGT
664,INHBB
665,NANS
666,BNIP1
667,ITGA2B
668,CEP72
669,AP3D1
670,RNF146
671,PELI2
672,ZGPAT
673,GGCX
674,BRINP2
675,HSPB2
676,FREM3
677,PIN1
678,YIPF1
679,THBS3
680,ZNF395
681,ABCC8
682,SPEF2
683,RORB
684,ELK4
685,CNTN4
686,SOCS7
687,CCND2
688,ST8SIA3
689,TTL
690,PCMTD2
691,SOX11
692,RPH3A
693,APOD
694,CPNE4
695,ELOVL6
696,CCDC177
697,DNAH8
698,TRIM3
699,TNNT1
700,RHOB
701,GSTM5
702,EFNB2
703,SCAF11
704,ITFG1
705,ACTR3B
706,PRICKLE1
707,CHRM1
708,MCF2L
709,MIS18A
710,KLF7
711,POMT1
712,ARPP19
713,GPD2
714,RNF41
715,CD55
716,NR2F2
717,FAM168B
718,ZNF804B
719,ZNF536
720,GRIA3
721,CLGN
722,SORL1
723,USP47
724,IQSEC2
725,KLF5
726,LMLN
727,PTPRM
728,ATG9A
729,TEKT2
730,CROCC
731,KRT18
732,SPDEF
733,ABCB4
734,ZNF462
735,LRRN2
736,FAM227B
737,GABPA
738,TECR
739,NEUROD6
740,CX3CL1
741,BBC3
742,BCL9
743,FAM131C
744,PLCG2
745,MED6
746,CHADL
747,DLGAP2
748,ABCA6
749,PCDHB14
750,POLH
751,KANSL3
752,OSBPL8
753,PPP2R5E
754,HYDIN
755,MPZL3
756,AHDC1
757,CCDC107
758,TSLP
759,CAMK1D
760,GREB1
761,PATL2
762,CHRNB1
763,OTX1
764,TRPM6
765,TRHR
766,CPT1C
767,UBE2K
768,PARPBP
769,IDH1
770,MTMR12
771,CSRP2
772,STX8
773,RAB11FIP5
774,WIPF2
775,DNMT1
776,AIF1
777,ACOT8
778,MORC2
779,SLC25A27
780,WNK2
781,CHAF1B
782,PEAK1
783,TBC1D31
784,TONSL
785,GEMIN7
786,CNKSR3
787,SLC9A1
788,FGF18
789,EPG5
790,COTL1
791,SLC2A6
792,FZD6
793,WDR33
794,FGF13
795,IQSEC1
796,CCDC15
797,SLC30A1
798,TDRD5
799,GPR22
800,CENPN
801,GAS2L3
802,PHACTR2
803,TBC1D22A
804,ANKRD34C
805,OAF
806,RAB33B
807,ADK
808,MED27
809,FOXRED2
810,TCEA2
811,AMIGO2
812,TOP1
813,NDUFV3
814,C1QB
815,CSMD3
816,CASQ1
817,XKR4
818,MMP24
819,HOOK1
820,CSMD2
821,AMOTL1
822,SLC35D3
823,OCLN
824,LNX1
825,GPCPD1
826,CDHR3
827,SHOX2
828,SLC16A14
829,ZDHHC21
830,B4GALT3
831,PIGW
832,DLX6
833,NKAIN3
834,ICOSLG
835,HSPB1
836,USP33
837,ST8SIA1
838,SOWAHC
839,URB2
840,PCGF5
841,CKB
842,KCNK13
843,PTPRS
844,CYTH2
845,NT5M
846,EMC10
847,STAG1
848,TMEM214
849,CCSER2
850,SLITRK6
851,ZNF382
852,CRH
853,PRKAR2B
854,NFE2L3
855,ABLIM3
856,EIF4G1
857,RACGAP1
858,ARID5B
859,CCKBR
860,CCK
861,RNF40
862,MYL12A
863,KCNA2
864,MANBA
865,ZNF697
866,PNO1
867,CACUL1
868,CGREF1
869,HRH2
870,SYAP1
871,MRPS2
872,SLC25A44
873,LZTS1
874,SF3A1
875,NTF3
876,TMEM51
877,DGKH
878,BLVRB
879,SCN3A
880,CYS1
881,ZNF563
882,SCAP
883,BEGAIN
884,NXPH3
885,ZNF827
886,FBXL2
887,NFATC2
888,STARD4
889,TMEM47
890,STIM1
891,DGKG
892,RNF13
893,ANKRD13C
894,CECR2
895,MUTYH
896,RPL26
897,SEMA6D
898,ADAM9
899,RNASE1
900,DOK7
901,GTF2E2
902,RRAGA
903,TM2D3
904,KCNS3
905,NAF1
906,NTRK2
907,IRX3
908,BACE2
909,ASS1
910,CYP26B1
911,SAMD10
912,CCDC3
913,SLC18A2
914,HIVEP3
915,CSGALNACT1
916,CCDC167
917,SYN2
918,RHCG
919,LRPPRC
920,BBS7
921,HTR2C
922,METTL9
923,ATP6V0B
924,LRFN5
925,SST
