,genes
407,SQLE
408,UNC5A
409,CCDC93
410,SLC15A3
411,OLFM3
412,NUP54
413,DHCR7
414,COL8A2
415,KCNA1
416,LIPT2
417,EMB
418,PRR3
419,UCHL5
420,CEP68
421,FAM78A
422,BCL7A
423,PPARG
424,SAE1
425,GATAD2B
426,MYBBP1A
427,DNAJC6
428,ANKRD55
429,CLEC4A
430,RAD51AP1
431,RPP38
432,AFAP1L1
433,HDAC5
434,AIM2
435,DNAJC16
436,MRAP2
437,AP2A1
438,CPEB3
439,ABCC5
440,EXTL2
441,FAM193A
442,RAD51C
443,RXRG
444,FBXL12
445,SLC38A2
446,SAR1B
447,RREB1
448,NFKBIZ
449,PTGER4
450,RMND1
451,DPY19L3
452,CUL4A
453,MLST8
454,ATP2B4
455,FGD4
456,STXBP4
457,RAPGEF1
458,AKAP13
459,IRAK4
460,COL7A1
461,FBXO33
462,SNAPC2
463,ZW10
464,ARHGEF9
465,RRS1
466,CEP44
467,NR2F1
468,OAS1
469,RGS4
470,MCOLN1
471,TOX
472,PYROXD1
473,DNMBP
474,RNPEP
475,ZNF12
476,MALSU1
477,POMT2
478,VPS33A
479,SHC2
480,GOSR1
481,TMEM38A
482,SASH3
483,AMMECR1L
484,NDUFA4
485,PFDN1
486,TMEM87B
487,SLC25A35
488,SLC26A4
489,NCAPD2
490,FARSA
491,ESPL1
492,EPHX1
493,ZNF710
494,IDH3A
495,PLIN5
496,GNL3
497,SCN8A
498,SLC2A12
499,TEFM
500,CACNG6
501,ASTN2
502,CTNNBL1
503,PRMT8
504,S100A4
505,PRPSAP1
506,PUS7
507,DHX32
508,TMEM138
509,NOB1
510,AMACR
511,CAP2
512,EME2
513,SCN3B
514,ZFP36L1
515,TLR3
516,PPP1R3D
517,MRPL35
518,PTCHD4
519,TRIM39
520,ZNF394
521,SAMD12
522,SH3RF1
523,LNX2
524,SIRT1
525,PPP1R42
526,CCNL1
527,SLC16A10
528,ARHGEF40
529,NOD1
530,POSTN
531,ENDOV
532,DPP7
533,CACNA1A
534,CCNO
535,ZFYVE19
536,NR4A3
537,DAB2
538,PLEKHH3
539,KCNV1
540,WFIKKN2
541,ANKRD24
542,C1QC
543,DGKI
544,ATP1A1
545,PLK5
546,GPR146
547,CCDC85A
548,OSBPL6
549,LRTM2
550,PEX5L
551,KCNC1
552,DDX5
553,TSPYL1
554,ZNF503
555,DNAJC12
556,EAF1
557,FLRT1
558,GPR183
559,NEURL2
560,PLEKHO1
561,EPHA8
562,CBLN2
563,NAPG
564,SMIM12
565,EXTL1
566,RNLS
567,LRCH1
568,FAM102B
569,NR1D1
570,MAP3K9
571,TMEM38B
572,UPB1
573,INHBB
574,ITGA2B
575,UBIAD1
576,PELI2
577,BRINP2
578,HSPB2
579,FREM3
580,PRADC1
581,USP36
582,VWA3A
583,ZNF395
584,ABCC8
585,RORB
586,TMEM175
587,CNTN4
588,GLRB
589,P2RY13
590,NRBF2
591,NDUFAF5
592,OVOL2
593,SOX11
594,CCM2
595,GALNT16
596,RPH3A
597,APOD
598,ZNRD1
599,ELOVL6
600,CCDC177
601,SH3KBP1
602,CCDC112
603,ZNF518B
604,PHLPP1
605,FAM167A
606,MYPN
607,ARIH2
608,IL15RA
609,GSTM5
610,EFNB2
611,ITFG1
612,PRICKLE1
613,GTSE1
614,MCF2L
615,ATP8B1
616,HOOK2
617,KLF7
618,ASCL2
619,GPD2
620,CD55
621,NR2F2
622,FAM168B
623,ZNF804B
624,SAP30L
625,FSTL1
626,RASD1
627,CCDC77
628,GRIA3
629,CLGN
630,SORL1
631,ZADH2
632,KLF5
633,LMLN
634,NUMBL
635,PTPRM
636,TDRD3
637,SIRT7
638,TEKT2
639,LIN54
640,SPDEF
641,ZNF462
642,CCDC58
643,LRRN2
644,GPR85
645,MYC
646,TECR
647,ADORA3
648,ATP2B3
649,FAM131C
650,PLCG2
651,DLGAP2
652,FAM181A
653,FANCI
654,ABCA6
655,CDK8
656,PPP2R5E
657,HYDIN
658,BCAS3
659,MPZL3
660,CAMK1D
661,MDK
662,GREB1
663,FNBP4
664,C5orf24
665,MED11
666,ADD1
667,NR2C2
668,BRINP1
669,ORAI1
670,CENPF
671,TRHR
672,WDR55
673,CSRP2
674,HIBADH
675,RTN4
676,STX8
677,CNEP1R1
678,RAB11FIP5
679,ZNF800
680,MRPS36
681,WIPF2
682,YBX1
683,AIF1
684,PARP14
685,ARHGAP1
686,MLYCD
687,DNAJC13
688,CD163
689,TONSL
690,DRAXIN
691,CNKSR3
692,SLC9A1
693,FGF18
694,IKZF3
695,COTL1
696,MAD2L2
697,SLC2A6
698,FZD6
699,EEF1D
700,FGF13
701,IQSEC1
702,CCDC15
703,ACSL6
704,MSC
705,ERCC1
706,TDRD5
707,GPR22
708,RWDD1
709,CENPN
710,GAS2L3
711,GPI
712,NUP153
713,ZDHHC7
714,TBC1D22A
715,MGP
716,ANKRD34C
717,SPECC1
718,PTPRZ1
719,MED27
720,HKDC1
721,PIK3CG
722,ARID4B
723,AMIGO2
724,SLC16A9
725,TJP3
726,FAH
727,C1QB
728,XKR4
729,VSIG2
730,MED12L
731,USP16
732,SH2B1
733,CSMD2
734,FAM98B
735,GPCPD1
736,DDX18
737,RAP2A
738,NKAIN3
739,LZTS2
740,USP33
741,CRHR2
742,ST8SIA1
743,ZNF689
744,SOWAHC
745,GPAM
746,KCNK13
747,OLFML2A
748,CYTH2
749,NT5M
750,TMEM214
751,FKBP10
752,SH2B3
753,ENPP1
754,ABLIM3
755,RACGAP1
756,IFT27
757,TMEM209
758,CELF2
759,ARID5B
760,RNF40
761,FANCC
762,MYL12A
763,KCNA2
764,ZNF697
765,EPS8L1
766,C10orf90
767,YAP1
768,HRH2
769,LZTS1
770,KIAA1328
771,OLFML3
772,WDR70
773,WDR63
774,C10orf105
775,ZNF827
776,INTS2
777,NFATC2
778,STARD4
779,TMEM47
780,STIM1
781,DGKG
782,C1QL1
783,TIRAP
784,CECR2
785,FBLN2
786,SEPSECS
787,DAPK3
788,ZSCAN29
789,BCO2
790,DOK7
791,GLI2
792,BTG1
793,APCDD1
794,NTRK2
795,GTPBP10
796,BACE2
797,ASS1
798,CYP26B1
799,SAMD10
800,CCDC3
801,UBXN7
802,RHCG
803,RTN4IP1
804,LRPPRC
805,BBS7
806,HTR2C
807,TCF12
808,LRFN5
809,S100PBP
810,THAP3
811,DES
812,PPARGC1A
813,LYSMD4
814,EPHX4
815,LCP1
816,FHDC1
817,OPHN1
818,ARHGAP36
