,genes
405,ENSA
406,GLS
407,FRRS1L
408,MDN1
409,PSAT1
410,CENPQ
411,HOOK3
412,ATP7A
413,BPNT1
414,SYDE2
415,SLC25A11
416,CDON
417,PDCD7
418,UTP6
419,RUNDC3A
420,WDR76
421,PKDCC
422,RAB11FIP4
423,WRAP53
424,GALNT13
425,SEL1L3
426,ILF3
427,PANX1
428,FAHD1
429,CCL2
430,RPL7L1
431,MYSM1
432,CEP128
433,TBL3
434,LONP1
435,ERC2
436,GPRIN1
437,RCOR1
438,MANEA
439,ARHGAP26
440,MPG
441,ZNF208
442,C1RL
443,ANKRD46
444,VAMP1
445,BTC
446,REP15
447,NFX1
448,IDUA
449,RGS14
450,DHX33
451,TDRD1
452,CAMKV
453,TMEM132E
454,NPLOC4
455,NIM1K
456,ITPKB
457,TBCD
458,CHD3
459,GALNT15
460,MCM5
461,JAZF1
462,TAF15
463,FADS6
464,RB1CC1
465,ZNRF1
466,HAUS2
467,KDM1A
468,DHPS
469,HPCAL1
470,IGSF21
471,ARNTL
472,PRPF31
473,COL12A1
474,CDC14A
475,HAPLN4
476,TRIM21
477,TGFBI
478,TMEM176A
479,CDK5
480,KLHL11
481,BRK1
482,PANK4
483,NEDD1
484,LPAR3
485,CHST11
486,MLF2
487,CCDC51
488,KLHL26
489,PDE8B
490,ZNF324
491,MED8
492,DPP4
493,SPATA7
494,AK4
495,TSEN15
496,IL13RA1
497,ATOX1
498,SQLE
499,UNC5A
500,AGAP2
501,RDH13
502,TTC9B
503,OLFM3
504,NUP54
505,DHCR7
506,KCNA1
507,MAPK8IP3
508,AAK1
509,PAG1
510,CLTB
511,R3HDM4
512,UCHL5
513,B4GALNT4
514,CEP68
515,FAM78A
516,ATAT1
517,CDC123
518,PTPRN2
519,BCL7A
520,GAS2L1
521,SAE1
522,COPS4
523,IAH1
524,GATAD2B
525,MYBBP1A
526,TLN2
527,DNTTIP1
528,TMEM144
529,ANKRD55
530,AFAP1L1
531,HDAC5
532,GPR62
533,BCAS1
534,AIM2
535,DNAJC16
536,MRAP2
537,AP2A1
538,CPEB3
539,ABCC5
540,EXTL2
541,FAM193A
542,EGFL6
543,OSCP1
544,RAD51C
545,ZBTB20
546,ADAM17
547,RXRG
548,FBXL12
549,SLC38A2
550,DTNBP1
551,ACOT7
552,PTPN7
553,RREB1
554,TTC9C
555,ERCC3
556,PTGER4
557,AQP6
558,RMND1
559,CUL4A
560,MLST8
561,ATP2B4
562,FGD4
563,STXBP4
564,RARA
565,RAPGEF1
566,IRAK4
567,CELSR2
568,CCNG2
569,ZRANB1
570,RECQL4
571,FBXO33
572,CDO1
573,ARHGEF9
574,DPAGT1
575,LHFPL4
576,CADM3
577,RRS1
578,ANKRD28
579,MYD88
580,CEP44
581,ATM
582,NR2F1
583,XYLB
584,RGS4
585,PIGQ
586,SSBP3
587,MCOLN1
588,LIMD2
589,TOX
590,PYROXD1
591,MDC1
592,DNMBP
593,RNPEP
594,ZNF12
595,MALSU1
596,CHGB
597,SHC2
598,CTBP2
599,PLXNA2
600,CASC1
601,GOSR1
602,TMEM38A
603,AMMECR1L
604,ISG20L2
605,EBAG9
606,SPIDR
607,PSD
608,COL4A4
609,SLC25A35
610,SHMT2
611,SLC26A4
612,FARSA
613,GFPT1
614,EPHX1
615,FAM149A
616,PPP1R7
617,GNL3
618,SCN8A
619,SLC2A12
620,VDAC3
621,FBXW2
622,RBM45
623,TEFM
624,CACNG6
625,POLR2E
626,ASTN2
627,THY1
628,FLAD1
629,LARP4B
630,COA7
631,AP1G2
632,PRMT8
633,YWHAZ
634,EPHA5
635,RHEB
636,S100A4
637,PRPSAP1
638,SNRNP200
639,PUS7
640,DHX32
641,TMEM138
642,MAP2K1
643,KCNMB4
644,CHRNA7
645,CAP2
646,GDA
647,DAPL1
648,PLXNB2
649,ATP6AP2
650,SCN3B
651,ZFP36L1
652,RFX3
653,USP5
654,DPH2
655,PTCHD4
656,GPATCH1
657,MTFR2
658,MED16
659,LNX2
660,CEP19
661,TMEM200C
662,RASGEF1A
663,POSTN
664,WDHD1
665,ENDOV
666,ULK1
667,DPP7
668,NOP56
669,RAD23A
670,CACNA1A
671,CCNO
672,RNF216
673,NR4A3
674,BBOX1
675,SH3GL2
676,ULK4
677,DAB2
678,HEXA
679,DUSP14
680,PACS1
681,PLEKHH3
682,THOP1
683,KCNV1
684,ANKRD24
685,HTRA2
686,DGKI
687,BCAP29
688,PPP1R13B
689,ATP1A1
690,GATA3
691,PLK5
692,TMEM229B
693,CCDC85A
694,ARMCX2
695,OSBPL6
696,LRTM2
697,PEX5L
698,KCNC1
699,DDX5
700,DNAJC12
701,FLRT1
702,GPR183
703,MTMR10
704,PLEKHO1
705,EPHA8
706,ZNF669
707,CBLN2
708,MIEF2
709,NAPG
710,SMIM12
711,NDRG2
712,EXTL1
713,ZFAND2B
714,RNLS
715,LRCH1
716,FAM102B
717,NR1D1
718,MAP3K9
