,Phenotype1,Phenotype2,Phenotype3
A20cv,0.6822228065213564,0.5825063210971465,0.5911588987192105
A20rv,0.6259495883656119,0.7316642674859145,0.7042690849084935
A37mv,0.6403870800140476,0.8475570651122171,0.6223120643335297
A37lv,0.6721475028503546,0.7180968516364693,0.6025593453121151
A35/36r,0.7099676940350182,0.44692269307982796,0.598841187652143
A35/36c,0.6420277865709627,0.40308701011828313,0.5888582917912866
lateral PPHC,0.7068577091221708,0.49366910526178226,0.5873561465511449
A28/34,0.6330579537549584,0.3961496745505107,0.5777270296734767
TH,0.6616737290901467,0.4149950314025322,0.6291217393157855
TI,0.6497927875065571,0.6105618452826407,0.5329529118727436
rpSTS,0.5870413898785799,0.854923270885106,0.6475319794638889
cpSTS,0.5378324515102223,0.9150179337389795,0.733551742769946
