Anatomical Name,Phenotype
LA,0.4597685824046081
BLA,0.799542756920463
BMA,1.0866555464570071
PA,0.4700153711309588
CA1,0.1892713637876963
CA2,0.2480989757917115
CA3,0.4732970621001754
DG,0.7807804255864884
SUB,0.299130425156209
ACB,0.968622926489744
CP,1.499526783470006
FS,3.6836897569705993
SF,0.8833856682459514
SH,-0.4350541206402829
sAMY,2.0628141912159603
PAL,1.6235284732994344
VENT,3.255513538965852
SPF,3.864516763824376
SPA,5.047579578846749
PP,0.6613817574607687
GENd,0.601437687195961
LAT,3.375892743899105
ATN,2.793474413158872
MED,6.259167970089799
MTN,4.848956186092839
ILM,5.223949064911311
GENv,0.2116307546218069
EPI,3.944129470802937
RT,1.150901401184022
