,genes
414,TPRA1
415,NAB1
416,Adgre5
417,IL17RA
418,LAMB1
419,KCNN1
420,ARRDC2
421,CD36
422,MAP2K7
423,TIMM44
424,AP2A2
425,PNKP
426,MED25
427,BCAM
428,CLPTM1
429,RELB
430,TOMM40
431,APOE
432,HBP1
433,PRKAR2B
434,CDKN1B
435,KLF4
436,AP1M1
437,RAB8A
438,Hmgn2
439,FAM32A
440,STARD3NL
441,STK11
442,EFNA2
443,ATP5D
444,PPP5C
445,CDK12
446,LIPE
447,PAFAH1B2
448,TBC1D8
449,CNOT11
450,SLC2A3
451,FOXJ2
452,SRI
453,DGCR2
454,IRF3
455,BCL2L12
456,Zfp959
457,MPND
458,SH3GL1
459,EBI3
460,CCDC94
461,RGPD1
462,GRK5
463,DVL3
464,ABCF3
465,EIF2B5
466,CYTH2
467,SULT2B1
468,CA11
469,DLGAP1
470,HCK
471,MRPL4
472,KEAP1
473,GLG1
474,BTBD2
475,CSNK1G2
476,ABHD17A
477,CACNB3
478,CCDC65
479,FKBP11
480,DDX23
481,PLD3
482,GRIK5
483,CD79A
484,RABAC1
485,ETV3
486,PRKCSH
487,ELAVL3
488,RAB3B
489,ST8SIA6
490,FCGRT
491,NOSIP
492,PIH1D1
493,RPS11
494,SUPT5H
495,DLL3
496,PAF1
497,TIMM50
498,MED29
499,BICD1
500,NCSTN
501,PEX19
502,PHYHIP
503,CRHR2
504,INMT
505,IMPDH1
506,DUSP3
507,LOC102724788
508,DGCR14
509,Slc25a1
510,Dgcr6
511,DDR1
512,IER3
513,FOSB
514,KLC4
515,ERCC1
516,AS3MT
517,HOMER3
518,CRTC1
519,RNF215
520,SEC14L2
521,AVEN
522,CP
523,CROT
524,RPS6KA1
525,CALB2
526,SNRNP200
527,CIAO1
528,HAS1
529,TAF6L
530,INSIG2
531,KPNA6
532,MAN1A1
533,ITPKC
534,Coq8b
535,BRD8
536,KIF20A
537,FARSA
538,GCDH
539,MAST2
540,DNASE2
541,RAD23A
542,CALR
543,SYCE2
544,NFAT5
545,NOB1
546,NQO1
547,PPFIA3
548,GYS1
549,RUVBL2
550,LIN7B
551,BAX
552,IL7R
553,TFAM
554,Zfp81
555,EFNB3
556,MMD
557,HLF
558,FAM162A
559,RPL8
560,GRM3
561,SSBP2
562,FANCL
563,BRINP2
564,GSTM3
565,GSTM2
566,Gstm3
567,STAT3
568,STAT5A
569,PTRF
570,MAP3K11
571,AKT2
572,DNAJA3
573,HMOX2
574,CDIP1
575,ZAK
576,CWC15
577,COL5A3
578,DNMT1
579,PPAN
580,ANGPTL2
581,CACNA1E
582,CACNA1B
583,TRMT10A
584,ETV1
585,KIFC2
586,PSAP
587,IKBKG
588,PAX2
589,WARS2
590,ATN1
591,PHB2
592,PTPN6
593,ENO2
594,EMG1
595,LPCAT3
596,ATP6V1F
597,CLCN5
598,CLCN3
599,HIF3A
600,GPX6
601,PDE1C
602,UTP20
603,X9330159F19Rik
604,CUL3
605,SST
606,LARGE
607,DDX56
608,TMED4
609,COL26A1
610,BID
611,RALB
612,Ppp1cc
613,DNAJB11
614,TBCCD1
615,CLEC11A
616,ZNF324
617,GAB2
618,CORO1C
619,TAX1BP1
620,NDRG2
621,METTL17
622,ARHGEF40
623,PNPLA6
624,MCOLN1
625,ARHGEF18
626,PKN2
627,Cd33
628,ETFB
629,STXBP2
630,PCP2
631,SGCE
632,CHN2
633,WWOX
634,SLBP
635,AQP1
636,ARID3B
637,CNN2
638,POLR2E
639,MYO9B
640,HDAC9
641,Adgre1
642,MTFP1
643,RAB23
644,RAB11A
645,EIF2B2
646,DLST
647,PGF
648,ULK2
649,CCL24
650,DGKQ
651,GRAP
652,CHMP2B
653,PLOD3
654,AP1S1
655,MAPK13
656,SRPK1
657,PAX3
658,LBR
659,CRABP2
660,Nes
661,BCAN
662,HAPLN2
663,PRCC
664,RRNAD1
665,HDGF
666,SLC25A18
667,THOP1
668,APBA3
669,MATK
670,PIAS4
671,MAP2K1
672,SGTA
673,TMEM242
674,DTX2
675,HSPB1
676,RASA4
677,SYT5
678,HNRNPA2B1
679,CCDC130
680,MRI1
681,PRKACB
682,SGSH
683,CHD5
684,CSTB
685,SH2B2
686,PEX5
687,JKAMP
688,CD44
689,SLC1A2
690,EIF2AK4
691,WDR1
692,SLC2A9
693,WISP1
694,NDRG1
695,X4930550C14Rik
696,MAN2B1
697,KLF5
698,WDR83
699,PRDX2
700,POLR2A
701,SENP3
702,PLEKHA8
703,SPC25
704,DNAH2
705,RIPK4
706,UFD1L
707,ZNF287
708,PRLR
709,LETM1
710,UBQLN1
711,CADM3
712,TXN2
713,SLC1A6
714,SLC1A3
715,CRBN
716,MSH6
717,FBXO11
718,MLXIPL
719,TBL2
720,WBSCR22
721,NID1
722,MCM5
723,HMOX1
724,MPRIP
725,CIC
726,PAFAH1B3
727,PRKACA
728,ASF1B
729,DDX39A
730,DNAJB1
731,USP40
732,KBTBD4
733,Celf1
734,NDUFS3
735,POR
736,IGF1R
737,INSR
738,ATP4A
739,TRIM28
740,UBE2M
741,ADCY9
742,MEF2C
743,CTR9
744,EIF4G2
745,MRVI1
746,PCYT1A
747,ZNF592
748,PSMD4
749,TMOD4
750,SNX6
751,MTHFD2
752,KIT
753,TOMM40L
754,NR1I3
755,APOA2
756,PAN2
757,CS
758,AMPD3
759,BCAS2
760,SH2D1A
761,CTCF
762,PARD6A
763,PVALB
764,TFAP4
765,RANBP1
766,Rfx5
767,PSMB4
768,SLC30A4
769,SQRDL
770,BLOC1S6
771,METAP1
772,GPR108
773,RSL1D1
774,APC
775,REEP5
776,ERGIC3
777,UQCC1
778,NCOA2
779,TRH
780,NR2C2
781,NR2C1
782,SMPD4
783,PEX1
784,OTX1
785,KCTD20
786,ITGAE
787,CTNS
788,P2RX5
789,SHPK
790,EPHB3
791,TUFT1
792,RCN1
793,TRAP1
794,NAA60
795,X1700037C18Rik
796,ANKRD13D
797,TYRP1
798,TPR
799,C1orf27
800,Prg4
801,DHX34
802,KPTN
803,NAPA
804,SRA1
805,ATP5G1
806,SNF8
807,TBCB
808,INPP5K
809,CRKL
810,EPS8L1
811,CLINT1
812,PRSS16
813,CDKAL1
814,HTRA1
815,ZBTB17
816,FAM131C
817,FBLIM1
818,EPOR
819,CCDC159
820,MOB1B
821,ATP6V1B2
822,EPS15L1
823,TEP1
824,TTC5
825,OSGEP
826,AAMP
827,TMBIM1
828,ARPC2
829,KMT2B
830,UPK1A
831,TMEM147
832,RPS9
833,TFPT
834,SUSD2
835,GGT5
836,GGT1
837,Crip2
838,CRIP1
839,CBFA2T3
840,FBLN1
841,PGRMC1
842,GCAT
843,TEK
844,MPL
845,ELOVL1
846,MED8
847,CDC20
848,ADAMTS4
849,Nectin4
850,PFDN2
851,RNF114
852,CXorf56
853,NEURL1
854,SRM
855,EPHA2
856,RBM14
857,Actn3
858,ZDHHC24
859,BBS1
860,SLC34A3
861,NDOR1
862,NSMF
863,PDK1
864,PTBP1
865,MVD
866,CYBA
867,ITIH3
868,TMEM110-MUSTN1
869,SFMBT1
870,CRYBA2
871,ATP7B
872,RUNDC3A
873,SLC4A3
874,CDT1
875,RUNX1T1
876,APRT
877,GTF2H1
878,HFE
879,SLC5A6
880,NPHS1
881,APLP1
882,QRICH1
883,P4HTM
884,USP19
885,POLA1
886,Cdc42
887,PKNOX1
888,KIAA0319
889,GMNN
890,ACOT13
891,ZNF184
892,CDK4
893,B4GALNT1
894,METTL1
895,TSPAN31
896,KIF5B
897,SAAL1
898,CNP
899,TTC25
900,SULF2
901,SOD2
902,TMCO6
903,STAMBP
904,EZH1
905,HAP1
906,P3h4
907,CTNNB1
908,EIF1B
909,CHRD
910,PSMD2
911,SYNGR3
912,VARS
913,VWA7
914,SLC44A4
915,MSH5
916,ABHD16A
917,NEU1
918,DDAH2
919,CLIC1
920,LSM2
921,POLE
922,ATP1A2
923,CASQ1
924,STX1A
925,ZNF775
926,SCUBE2
927,MRPL49
928,DENND2C
929,MARK3
930,GATAD1
931,M6PR
932,LRRC8A
933,PPP2R1A
934,FANCE
935,TINF2
936,TSSK4
937,HAPLN4
938,DUS3L
939,GTPBP3
940,TGFBR1
941,HOMER1
942,RAD51C
943,GABRB2
944,CAV1
945,ARPP19
946,BCL2L1
947,KHSRP
948,DIO2
949,CCDC124
950,CCT4
951,X0610009B22Rik
952,CPT1C
953,TWIST2
954,ZNF655
955,RHOA
956,ZMIZ1
957,ANKRD26
958,ALDH16A1
959,HNRNPA0
960,PRRG2
961,HNRNPH1
962,IFT43
963,ID3
964,TCAP
965,ARID1A
966,CRLF1
967,CTSD
968,Rplp1
969,HMGCLL1
970,TTC9B
971,ABHD8
972,Ift22
973,FZD3
974,X1700008O03Rik
975,MID1IP1
976,AP2S1
977,FGFRL1
978,X4930432K21Rik
979,FHL2
980,EMC10
981,CLSTN3
982,FBXW9
983,FNBP4
984,CERS4
985,SCRN3
986,PHAX
987,TLE1
988,X1700109H08Rik
989,RELT
990,SNRPB2
991,UBC
992,PRPF31
993,SERTAD1
994,CARHSP1
995,ELK3
996,HERPUD2
997,RDH13
998,ADAM21
999,NUTF2
1000,ARPC5
1001,ELAVL2
1002,POU2F2
1003,MGST1
1004,NFIB
1005,UBQLN4
1006,RBFOX1
1007,RPS18
1008,RPL10
1009,RPS15A
1010,NCAPH2
1011,HIPK1
1012,GPRC5B
1013,MAN1A2
1014,ACYP1
1015,CD163
1016,HDAC5
1017,RALA
1018,VDAC3
1019,VPS72
1020,GABPA
1021,BMP7
