,genes
408,JDP2
409,ACSL3
410,DSTYK
411,SAMD9L
412,ZBBX
413,CPQ
414,MBLAC1
415,POLR3B
416,DHRS13
417,KLHL10
418,RING1
419,SIGIRR
420,RNF115
421,CTBP2
422,TAF4B
423,RAB37
424,ZNF226
425,DUSP27
426,ADAMTS2
427,NDUFV1
428,ATP6V1C2
429,HACE1
430,LPCAT2
431,MROH1
432,SHISA5
433,CCDC25
434,GLIPR1
435,GRK4
436,PAK1
437,TTC9
438,SDK1
439,OSR1
440,ZNF436
441,CDON
442,EBNA1BP2
443,KLF7
444,SEL1L3
445,FRAS1
446,NPHP1
447,MYBBP1A
448,CHCHD6
449,GPR62
450,CALN1
451,RILPL1
452,SLC25A35
453,C11orf68
454,BAIAP2
455,SLC16A7
456,FLRT2
457,PRDM2
458,MOB2
459,PPP2R5B
460,HMCN1
461,UBAC1
462,TGS1
463,AGPAT4
464,ELK3
465,TRPM7
466,BID
467,RAPGEF6
468,AKT2
469,PITPNM1
470,MATK
471,BRD1
472,KLC2
473,PLXDC2
474,GLIPR2
475,AMPD2
476,SFR1
477,ARPC5L
478,YIPF1
479,ZNF341
480,CDKL1
481,KLHDC2
482,PIH1D1
483,PARD6A
484,LRTM2
485,SLCO4C1
486,IFFO2
487,KLHL18
488,SETDB2
489,EID2
490,JMJD7
491,JPH4
492,EFNA5
493,GABRA4
494,TSEN15
495,ZNF148
496,DALRD3
497,PSMD2
498,PROKR2
499,TBC1D30
500,RGMA
501,PTHLH
502,DOCK8
503,RAP1GAP
504,MOSPD2
505,EXO1
506,GBF1
507,PAX2
508,PSMD1
509,CMTM4
510,SETDB1
511,FHL2
512,PIM1
513,LGI4
514,TMEM25
515,NCS1
516,PANX1
517,SOX5
518,ANKRD34B
519,CCDC160
520,EFNB3
521,CES5A
522,TFR2
523,IFI30
524,CNP
525,NGFR
526,PCDHB15
527,BCAP29
528,NR2C1
529,OSTF1
530,DIS3
531,SLX4
532,TSPAN8
533,SHISA2
534,PICK1
535,PLCB4
536,PRL
537,FBXO16
538,ROBO3
539,MACROD1
540,ADCK1
541,ZC3H7B
542,CDK14
543,ELMOD2
544,TBC1D16
545,B4GALT3
546,ICMT
547,NFKBIL1
548,ADO
549,IGFBP2
550,REP15
551,XYLB
552,SPIDR
553,ADAM8
554,TENM3
555,BTBD3
556,NFIA
557,CNNM1
558,UBAP2
559,RIMBP2
560,SLC22A8
561,TMEM260
562,SFMBT2
563,TRPM3
564,TTC29
565,TRIM45
566,SPATS2
567,ZNF248
568,NRN1L
569,RIMS3
570,SRSF4
571,TICAM1
572,MPZL3
573,COPS7B
574,B3GALT6
575,DCAF11
576,NUDT14
577,TNFAIP8L2
578,QDPR
579,SLC16A13
580,VAT1
581,ETS2
582,CFLAR
583,CDH7
584,MMS19
585,CAMK1G
586,NAT14
587,KNDC1
588,CREB3L3
589,DNAH10
590,ZNF324
591,ADM
592,C7orf26
593,CCDC146
594,MGST2
595,ATXN7L1
596,MYB
597,CHEK2
598,RFTN1
599,ARL6IP4
600,IPO5
601,NOL12
602,DUSP16
603,DDX1
604,CPEB2
605,PRKD2
606,EPHA10
607,SIRT5
608,ATP9B
609,ADAMTS16
610,CCNT2
611,SLC39A14
612,DMC1
613,STC2
614,HS2ST1
615,TWIST1
616,RXRG
617,JMJD4
618,FAM135B
619,CENPN
620,DHRS7B
621,AKAP12
622,C10orf90
623,XKR4
624,PARP14
625,DUSP6
626,SPRN
627,MVK
628,CHST12
629,PHACTR1
630,CDK5
631,SLC17A6
632,RANBP17
633,SOX11
634,CTSA
635,OXA1L
636,SOGA3
637,CCDC113
638,ADCY7
639,SBNO2
640,CREB3L2
641,GTF2F1
642,CHST6
643,UBR4
644,GNG2
645,NFIC
646,APOE
647,GRIN1
648,TARS2
649,DDR1
650,NR3C1
651,CENPF
652,MDH1
653,ALOX5
654,HK2
655,HTR4
656,MRPL4
657,STIM1
658,MAP2
659,TSPAN9
660,RCBTB2
661,RAB3GAP1
662,TENM2
663,CELF5
664,KIF5C
665,PTPN4
666,ZNF653
667,EFNA1
668,MALT1
669,ITSN1
670,TC2N
671,DAPL1
672,NOXO1
673,CHMP2B
674,GUSB
675,TANK
676,PDE8A
677,LIMA1
678,RNF25
679,APLF
680,SLC23A2
681,ASB2
682,PDRG1
683,USP3
684,SCN1A
685,ZNF48
686,VASH1
687,PRDM1
688,RCE1
689,LRCH1
690,CADPS2
691,POLH
692,TWF2
693,UPP2
694,SHROOM2
695,MAPK13
696,RDX
697,PDE7B
698,MIS18BP1
