,genes
388,ADPRM
389,ADRA1A
390,ADRA1B
391,ADRA1D
392,ADRA2A
393,ADRA2B
394,ADRA2C
395,ADRB1
396,ADRB2
397,ADRB3
398,ADRM1
399,ADSL
400,ADSS
401,ADSSL1
402,ADTRP
403,AEBP1
404,AEBP2
405,AEN
406,AES
407,AFAP1
408,AFAP1-AS1
409,AFAP1L1
410,AFAP1L2
411,AFDN
412,AFDN-DT
413,AFF1
414,AFF2
415,AFF3
416,AFF4
417,AFG1L
418,AFG3L1P
419,AFG3L2
420,AFM
421,AFMID
422,AFP
423,AFTPH
424,AGA
425,AGAP1
426,AGAP11
427,AGAP2
428,AGAP2-AS1
429,AGAP3
430,AGAP5
431,AGBL1
432,AGBL2
433,AGBL3
434,AGBL4
435,AGBL5
436,AGER
437,AGFG1
438,AGFG2
439,AGGF1
440,AGK
441,AGL
442,AGMAT
443,AGMO
444,AGO1
445,AGO2
446,AGO3
447,AGO4
448,AGPAT1
449,AGPAT2
450,AGPAT3
451,AGPAT4
452,AGPAT4-IT1
453,AGPAT5
454,AGPS
455,AGR2
456,AGR3
457,AGRN
458,AGRP
459,AGT
460,AGTPBP1
461,AGTR1
462,AGTR2
463,AGTRAP
464,AGXT
465,AGXT2
466,AHCTF1
467,AHCY
468,AHCYL1
469,AHCYL2
470,AHDC1
471,AHI1
472,AHNAK
473,AHNAK2
474,AHR
475,AHRR
476,AHSA1
477,AHSA2P
478,AHSG
479,AHSP
480,AICDA
481,AIDA
482,AIF1
483,AIF1L
484,AIFM1
485,AIFM2
486,AIFM3
487,AIG1
488,AIM2
489,AIMP1
490,AIMP2
491,AIP
492,AIPL1
493,AIRE
494,AJAP1
495,AJM1
496,AJUBA
497,AK1
498,AK2
499,AK3
500,AK4
501,AK5
502,AK6
503,AK7
504,AK8
505,AK9
506,AKAIN1
507,AKAP1
508,AKAP10
509,AKAP11
510,AKAP12
511,AKAP13
512,AKAP14
513,AKAP17A
514,AKAP3
515,AKAP4
516,AKAP5
517,AKAP6
518,AKAP7
519,AKAP8
520,AKAP8L
521,AKAP9
522,AKIP1
523,AKIRIN1
524,AKIRIN2
525,AKNA
526,AKNAD1
527,AKR1A1
528,AKR1B1
529,AKR1B10
530,AKR1B15
531,AKR1C1
532,AKR1C2
533,AKR1C3
534,AKR1C4
535,AKR1C6P
536,AKR1C8P
537,AKR1D1
538,AKR1E2
539,AKR7A2
540,AKR7A2P1
541,AKR7A3
542,AKR7L
543,AKT1
544,AKT1S1
545,AKT2
546,AKT3
547,AKTIP
548,ALAD
549,ALAS1
550,ALAS2
551,ALB
552,ALCAM
553,ALDH16A1
554,ALDH18A1
555,ALDH1A1
556,ALDH1A2
557,ALDH1A3
558,ALDH1B1
559,ALDH1L1
560,ALDH1L1-AS2
561,ALDH1L2
562,ALDH2
563,ALDH3A1
564,ALDH3A2
565,ALDH3B1
566,ALDH3B2
567,ALDH4A1
568,ALDH5A1
569,ALDH6A1
570,ALDH7A1
571,ALDH8A1
572,ALDH9A1
573,ALDOA
574,ALDOB
575,ALDOC
576,ALG1
577,ALG10
578,ALG10B
579,ALG11
580,ALG12
581,ALG13
582,ALG14
583,ALG1L
584,ALG1L2
585,ALG1L9P
586,ALG2
587,ALG3
588,ALG5
589,ALG6
590,ALG8
591,ALG9
592,ALK
593,ALKAL1
594,ALKAL2
595,ALKBH1
596,ALKBH2
597,ALKBH3
598,ALKBH4
599,ALKBH5
600,ALKBH6
601,ALKBH7
602,ALKBH8
603,ALLC
604,ALMS1
605,ALMS1P1
606,ALOX12
607,ALOX12B
608,ALOX12P2
609,ALOX15
610,ALOX15B
611,ALOX5
612,ALOX5AP
613,ALOXE3
614,ALPI
615,ALPK1
616,ALPK2
617,ALPK3
618,ALPL
619,ALPP
620,ALPPL2
621,ALS2
622,ALS2CL
623,ALS2CR12
624,ALX1
625,ALX3
626,ALX4
627,ALYREF
628,AMACR
629,AMBN
630,AMBP
631,AMBRA1
632,AMD1
633,AMDHD1
634,AMDHD2
635,AMELX
636,AMELY
637,AMER1
638,AMER2
639,AMER3
640,AMFR
641,AMH
642,AMHR2
643,AMIGO1
644,AMIGO2
645,AMIGO3
646,AMMECR1
647,AMMECR1L
648,AMN
649,AMN1
650,AMOT
651,AMOTL1
652,AMOTL2
653,AMPD1
654,AMPD2
655,AMPD3
656,AMPH
657,AMT
658,AMTN
659,AMY2A
660,AMZ1
661,AMZ2
662,AMZ2P1
663,ANAPC1
664,ANAPC10
665,ANAPC11
666,ANAPC13
667,ANAPC15
668,ANAPC16
669,ANAPC2
670,ANAPC4
671,ANAPC5
672,ANAPC7
673,ANG
674,ANGEL1
675,ANGEL2
676,ANGPT1
677,ANGPT2
678,ANGPT4
679,ANGPTL1
680,ANGPTL2
681,ANGPTL3
682,ANGPTL4
683,ANGPTL5
684,ANGPTL6
685,ANGPTL7
686,ANGPTL8
687,ANHX
688,ANK1
689,ANK2
690,ANK3
691,ANKAR
692,ANKDD1A
693,ANKEF1
694,ANKFN1
695,ANKFY1
696,ANKH
697,ANKHD1
698,ANKIB1
699,ANKK1
700,ANKLE1
701,ANKLE2
702,ANKMY1
703,ANKMY2
704,ANKRA2
705,ANKRD1
706,ANKRD10
707,ANKRD11
708,ANKRD12
709,ANKRD13A
710,ANKRD13B
711,ANKRD13C
712,ANKRD13D
713,ANKRD16
714,ANKRD17
715,ANKRD18A
716,ANKRD18B
717,ANKRD18CP
718,ANKRD18DP
719,ANKRD19P
720,ANKRD2
721,ANKRD20A11P
722,ANKRD20A12P
723,ANKRD20A4-ANKRD20A20P
724,ANKRD20A5P
725,ANKRD20A8P
726,ANKRD20A9P
727,ANKRD22
728,ANKRD23
729,ANKRD24
730,ANKRD26
731,ANKRD27
732,ANKRD28
733,ANKRD29
734,ANKRD30A
735,ANKRD30B
736,ANKRD30BL
737,ANKRD30BP2
738,ANKRD30BP3
739,ANKRD31
740,ANKRD33
741,ANKRD33B
742,ANKRD34A
743,ANKRD34B
744,ANKRD34C
745,ANKRD35
746,ANKRD36B
747,ANKRD36BP1
748,ANKRD36BP2
749,ANKRD36C
750,ANKRD37
751,ANKRD39
752,ANKRD40
753,ANKRD42
754,ANKRD44
755,ANKRD45
756,ANKRD46
757,ANKRD49
758,ANKRD50
759,ANKRD52
760,ANKRD53
761,ANKRD54
762,ANKRD55
763,ANKRD6
764,ANKRD60
765,ANKRD62
766,ANKRD65
767,ANKRD7
768,ANKRD9
769,ANKS1A
770,ANKS1B
771,ANKS3
772,ANKS4B
773,ANKS6
774,ANKUB1
775,ANKZF1
776,ANLN
777,ANO1
778,ANO10
779,ANO2
780,ANO3
781,ANO4
782,ANO5
783,ANO6
784,ANO7
785,ANO8
786,ANO9
787,ANOS1
788,ANP32A
789,ANP32A-IT1
790,ANP32AP1
791,ANP32B
792,ANP32C
793,ANP32D
794,ANP32E
795,ANPEP
796,ANTXR1
797,ANTXR2
798,ANXA1
799,ANXA10
800,ANXA11
801,ANXA13
802,ANXA2
803,ANXA2P1
804,ANXA2P3
805,ANXA2R
806,ANXA3
807,ANXA4
808,ANXA5
809,ANXA6
810,ANXA7
811,ANXA8L1
812,ANXA9
813,AOAH
814,AOC1
815,AOC2
816,AOC3
817,AOC4P
818,AOX1
819,AP1AR
820,AP1B1
821,AP1G1
822,AP1G2
823,AP1M1
824,AP1M2
825,AP1S1
826,AP1S2
827,AP1S3
828,AP2A1
829,AP2A2
