,genes
402,OXGR1
403,AKAP12
404,SULT4A1
405,SSTR1
406,HK3
407,RBM24
408,BAHD1
409,SRPK1
410,GDPD2
411,ANKRD49
412,STAT6
413,OSBPL7
414,SLC30A1
415,CHST1
416,RBBP9
417,PRKACB
418,TMEM37
419,PDPK1
420,SUSD2
421,CEP63
422,TLN2
423,LRIG3
424,SYT11
425,NUDT14
426,PROX1
427,TMEM120B
428,DUSP8
429,TIGD5
430,SEMA4G
431,RALGAPA2
432,TTLL11
433,LAMA2
434,SIKE1
435,SLC16A6
436,CREG1
437,RAB4A
438,COL1A1
439,ERLEC1
440,DIMT1
441,RGPD1
442,EBP
443,AMOTL2
444,TTC3
445,TBCA
446,NKAIN1
447,ARMC2
448,SLC2A6
449,CRY2
450,NQO1
451,ATG3
452,CHRNA3
453,DDN
454,CELSR3
455,KIF2A
456,PPP1R16B
457,GPRASP1
458,CDH11
459,LUZP2
460,LYPLAL1
461,FAM98C
462,VILL
463,RBM26
464,THBS4
465,FSTL5
466,RGS8
467,PPP4R4
468,PPTC7
469,ASTN2
470,CLCN6
471,HELLS
472,PGRMC1
473,TMEM72
474,KMT2E
475,TAF5
476,STXBP5L
477,KCNK10
478,ADRA2B
479,SERPINF1
480,CD164
481,CDK5
482,ABHD17C
483,KIT
484,DGCR8
485,FAM133B
486,PLS1
487,CREB3L3
488,LIG3
489,PEAK1
490,GSTK1
491,TTC7B
492,BCL9
493,GPM6B
494,LRRK1
495,PTX3
496,CLGN
497,ERF
498,ACSL4
499,FREM3
500,TGFBR2
501,ACTN4
502,C1orf226
503,TMEM26
504,TMEM200A
505,NFE2L2
506,RABEPK
507,SERINC3
508,SUB1
509,MDH1
510,AKAP11
511,ZYG11B
512,DCAF6
513,SCARF2
514,KL
515,ATF3
516,CA11
517,RORC
518,TMPO
519,NCLN
520,GALC
521,SNED1
522,MAPKAPK2
523,NFAT5
524,ANKRD13A
525,TMEM158
526,MADD
527,AIFM3
528,TRMT2B
529,SLC35B1
530,METTL3
531,PTPRU
532,SMARCD1
533,JAKMIP1
534,GRK6
535,BIN1
536,ANO5
537,FBLN7
538,NECAB3
539,FBXO16
540,IFFO2
541,GNG5
542,INIP
543,PLEKHA1
544,NIT2
545,PRICKLE1
546,CNTNAP3
547,TRAPPC10
548,AFAP1L1
549,FAM102B
550,KIF4A
551,ZSWIM6
552,MTFR2
553,POLR3H
554,NPL
555,ZBTB7B
556,HIBCH
557,CPLX3
558,EFNB3
559,DUSP7
560,TDRD6
561,ZFP28
562,ADCY9
563,FZD7
564,CCDC141
565,SPPL3
566,SLC45A1
567,RILPL1
568,ZNF236
569,ASAP2
570,GABRA4
571,ADAM8
572,ECH1
573,LYNX1
574,DPP6
575,BDH1
576,RASSF7
577,SOWAHA
578,FRAS1
579,HERPUD1
580,TOX2
581,ARHGEF4
582,IGSF11
583,ST8SIA5
584,FUT11
585,INSR
586,PHF20L1
587,P2RY13
588,PRKDC
589,FAM155A
590,RAPGEF3
591,DCC
592,BRI3
593,RNF13
594,LRRC39
595,GABARAP
596,LHPP
597,BDP1
598,CCDC78
599,ATP13A2
600,MAGT1
601,COX6B1
602,C1GALT1C1
