,genes
403,SLIT2
404,SLC2A6
405,ATG3
406,CAB39
407,SEH1L
408,CELSR3
409,PPP1R16B
410,CD320
411,LAPTM5
412,CDH11
413,CEND1
414,LUZP2
415,LYPLAL1
416,MSC
417,FAM98C
418,VILL
419,PCGF6
420,ITGB4
421,THBS4
422,FSTL5
423,LRP1B
424,PPP4R4
425,PPTC7
426,ASTN2
427,HELLS
428,MTHFSD
429,VAPA
430,SLC1A4
431,TAF5
432,STXBP5L
433,TP53INP1
434,GALNT1
435,SERPINF1
436,NID1
437,OXA1L
438,FAM133B
439,NR4A3
440,TMEM71
441,TEAD3
442,CREB3L3
443,LZTFL1
444,DHX16
445,TAF1A
446,EIF2B5
447,PLK3
448,LRRK1
449,CLGN
450,TRIP4
451,FREM3
452,ACTN4
453,C1orf226
454,AP4M1
455,PINX1
456,RASAL3
457,CTSA
458,TMEM26
459,ZNF3
460,TMEM200A
461,NFE2L2
462,RABEPK
463,MDH1
464,ZYG11B
465,ZNF182
466,DCAF6
467,KL
468,GNRH1
469,CHST6
470,NINL
471,ELAVL4
472,CXCL16
473,SAMSN1
474,SNED1
475,DUSP3
476,MAPKAPK2
477,FLYWCH1
478,TIMM8A
479,DNAJC1
480,NFAT5
481,TMEM158
482,LYZL4
483,ATP2B3
484,AIFM3
485,TRMT2B
486,GPRC5B
487,SMARCD1
488,DEXI
489,BIN1
490,ANO5
491,FBLN7
492,NECAB3
493,FBXO16
494,GUSB
495,IFFO2
496,INIP
497,PLEKHA1
498,PKIA
499,PRICKLE1
500,TRAPPC10
501,RAB34
502,AFAP1L1
503,FAM102B
504,BOLA3
505,HIBCH
506,GREB1L
507,WDR6
508,EFNB3
509,KCNN1
510,DUSP7
511,TDRD6
512,ADCY9
513,FZD7
514,SPPL3
515,ZBTB16
516,HOOK1
517,RILPL1
518,ASAP2
519,ACSF3
520,LYNX1
521,RGS4
522,SLC7A14
523,GLRA2
524,BDH1
525,HERPUD1
526,DSTYK
527,TOX2
528,ARHGEF4
529,PLCD4
530,FKBP7
531,ST8SIA5
532,OSGEP
533,FUT11
534,ITK
535,WWTR1
536,P2RY13
537,ZADH2
538,TMEM184B
539,FAM155A
540,RAPGEF3
541,DCC
542,NSUN7
543,ATP13A4
544,EZR
545,BID
546,KLHL9
547,LHPP
548,RTF1
549,CCDC78
550,AMER2
551,ATP13A2
552,MAGT1
553,BAG5
554,PHLPP1
555,TMEM69
556,ADORA1
557,XBP1
558,PLB1
559,ALS2
560,SLCO2A1
561,SH2B2
562,BIVM
563,GPAM
564,TFIP11
565,KITLG
566,ATXN2L
567,COL1A2
568,NR3C2
569,CD109
570,TENM3
571,RASGEF1C
572,LRPAP1
573,KCNIP1
574,EVA1C
575,KLHL1
576,AP3B1
577,ARMCX3
578,TACO1
579,DENND4A
580,THOC5
581,NECAB1
582,CHD9
583,CDH22
584,LRRTM3
585,JAKMIP2
586,MGAT4C
587,ELF4
588,SRC
589,VPS9D1
590,NCKAP5L
591,WNT7B
592,NOX4
593,AR
594,PHYH
595,CMTM7
596,TMX1
597,NQO2
598,CA4
599,ATP8B1
600,CCAR1
601,NAPG
602,HTR7
603,MATN2
604,GMIP
605,TSC22D4
606,ZRANB3
607,KEAP1
608,MBOAT2
609,TCEANC
610,HS6ST1
611,SLC9A9
612,ABCC9
613,RILPL2
614,STXBP4
615,UBALD1
616,SLC35G1
617,HSF1
618,MAD2L1
619,VAPB
620,SCN3B
621,FAM189A1
622,SYT6
623,CIDEA
624,KLHL20
625,RMI1
626,ARFGEF1
627,ERICH2
628,HECW1
629,GRIN3A
630,LIFR
631,COQ3
632,FBXO40
633,MBNL2
634,ZDHHC14
635,MDK
636,SUGCT
637,ORC2
638,ADAM23
639,GZF1
640,RASAL1
641,ANKRD24
642,AGPAT3
643,SPARC
644,EFNB1
645,UBE2K
646,ARHGEF19
647,CCDC51
648,PLA2G4A
649,PTTG1IP
650,ADAP2
651,RSBN1
652,ADAMTS16
653,ST8SIA2
654,ZNF518A
655,SALL1
656,DLGAP1
657,RELN
658,NLGN3
659,ITGB1BP1
660,DCLRE1B
661,RAB30
662,ERG
663,BAG3
664,DSCC1
665,FAR2
666,FNTA
667,MED11
668,SLC8A1
669,TMEM87B
670,ESM1
671,PLEKHB1
672,IGDCC4
673,BICC1
674,DDX58
675,TREM2
676,KAZN
677,ANK3
678,RELL2
679,SMC4
680,IFT88
681,KCTD4
682,SYT2
683,ARL2BP
684,TMED10
685,HTR2C
686,FMO2
687,COL14A1
688,SYCP2
689,GSDMD
690,SCN1A
691,PRTG
692,SH3GL1
693,PSAT1
694,KLF12
695,CABLES2
696,IL1B
697,EGF
698,CHMP4C
699,MICU3
700,SMPDL3B
701,DAND5
702,CPS1
703,TM7SF3
704,VCPKMT
705,LANCL3
706,CRAT
707,TCF12
708,KCNQ1
709,HDAC6
710,METTL8
711,HPCAL4
712,KRT222
713,GABRG1
714,TRIM56
715,NOA1
716,PGAP1
717,ZDHHC7
718,CPEB2
719,RPL27A
720,MGLL
721,SECISBP2
722,PTGDS
723,ABHD13
724,QRFPR
725,TRAF3IP3
726,C5AR1
727,FLT3
728,XPO1
729,APOD
730,CD99L2
731,ESCO1
732,DDB2
733,CAP2
734,ANKRD34A
735,GHDC
736,SYNDIG1
737,TDP2
738,FANCL
739,CAMKK2
740,MCTP2
741,KANK4
742,EGR2
743,MORN1
744,DENND2C
745,CTSC
746,GRIA4
747,ENKUR
748,PECAM1
749,CHD1
750,SLC35F4
751,TOMM40L
752,ADPRH
753,TENM1
754,PLXNB1
755,MOB1B
756,ANKRD33B
757,EXPH5
758,HSPB2
759,RNF31
760,FAT3
761,DAP
